ID,film_name,LABEL
0,肖申克的救赎,movie
1,霸王别姬,movie
2,阿甘正传,movie
3,这个杀手不太冷,movie
4,美丽人生,movie
5,泰坦尼克号,movie
6,千与千寻,movie
7,辛德勒的名单,movie
8,盗梦空间,movie
9,忠犬八公的故事,movie
10,海上钢琴师,movie
11,楚门的世界,movie
12,三傻大闹宝莱坞,movie
13,机器人总动员,movie
14,放牛班的春天,movie
15,星际穿越,movie
16,大话西游之大圣娶亲,movie
17,熔炉,movie
18,疯狂动物城,movie
19,无间道,movie
20,龙猫,movie
21,教父,movie
22,当幸福来敲门,movie
23,怦然心动,movie
24,触不可及,movie
25,控方证人,movie
26,蝙蝠侠：黑暗骑士,movie
27,活着,movie
28,寻梦环游记,movie
29,乱世佳人,movie
30,末代皇帝,movie
31,摔跤吧！爸爸,movie
32,指环王3：王者无敌,movie
33,何以为家,movie
34,少年派的奇幻漂流,movie
35,飞屋环游记,movie
36,十二怒汉,movie
37,鬼子来了,movie
38,素媛,movie
39,天空之城,movie
40,哈尔的移动城堡,movie
41,大话西游之月光宝盒,movie
42,天堂电影院,movie
43,罗马假日,movie
44,闻香识女人,movie
45,哈利·波特与魔法石,movie
46,辩护人,movie
47,我不是药神,movie
48,搏击俱乐部,movie
49,死亡诗社,movie
50,教父2,movie
51,狮子王,movie
52,指环王2：双塔奇兵,movie
53,大闹天宫,movie
54,窃听风暴,movie
55,猫鼠游戏,movie
56,指环王1：魔戒再现,movie
57,钢琴家,movie
58,两杆大烟枪,movie
59,美丽心灵,movie
60,饮食男女,movie
61,黑客帝国,movie
62,飞越疯人院,movie
63,本杰明·巴顿奇事,movie
64,让子弹飞,movie
65,让子弹飞,movie
66,看不见的客人,movie
67,西西里的美丽传说,movie
68,绿皮书,movie
69,小鞋子,movie
70,拯救大兵瑞恩,movie
71,海豚湾,movie
72,情书,movie
73,穿条纹睡衣的男孩,movie
74,海蒂和爷爷,movie
75,音乐之声,movie
76,美国往事,movie
77,致命魔术,movie
78,低俗小说,movie
79,七宗罪,movie
80,沉默的羔羊,movie
81,蝴蝶效应,movie
82,禁闭岛,movie
83,春光乍泄,movie
84,心灵捕手,movie
85,布达佩斯大饭店,movie
86,被嫌弃的松子的一生,movie
87,阿凡达,movie
88,摩登时代,movie
89,剪刀手爱德华,movie
90,勇敢的心,movie
91,喜剧之王,movie
92,天使爱美丽,movie
93,致命ID,movie
94,加勒比海盗,movie
95,断背山,movie
96,哈利·波特与死亡圣器(下),movie
97,杀人回忆,movie
98,狩猎,movie
99,请以你的名字呼唤我,movie
100,幽灵公主,movie
101,阳光灿烂的日子,movie
102,小森林夏秋篇,movie
103,重庆森林,movie
104,入殓师,movie
105,7号房的礼物,movie
106,第六感,movie
107,红辣椒,movie
108,消失的爱人,movie
109,小森林冬春篇,movie
110,爱在黎明破晓前,movie
111,一一,movie
112,侧耳倾听,movie
113,唐伯虎点秋香,movie
114,超脱,movie
115,玛丽和马克思,movie
116,倩女幽魂,movie
117,蝙蝠侠：黑暗骑士崛起,movie
118,告白,movie
119,甜蜜蜜,movie
120,阳光姐妹淘,movie
121,大鱼,movie
122,无人知晓,movie
123,萤火之森,movie
124,射雕英雄传之东成西就,movie
125,驯龙高手,movie
126,超能陆战队,movie
127,借东西的小人阿莉埃蒂,movie
128,幸福终点站,movie
129,菊次郎的夏天,movie
130,爱在日落黄昏时,movie
131,恐怖直播,movie
132,完美的世界,movie
133,功夫,movie
134,神偷奶爸,movie
135,怪兽电力公司,movie
136,人生果实,movie
137,玩具总动员3,movie
138,傲慢与偏见,movie
139,血战钢锯岭,movie
140,风之谷,movie
141,天书奇谭,movie
142,时空恋旅人,movie
143,教父3,movie
144,上帝之城,movie
145,电锯惊魂,movie
146,喜宴,movie
147,被解救的姜戈,movie
148,哪吒闹海,movie
149,七武士,movie
150,英雄本色,movie
151,谍影重重3,movie
152,岁月神偷,movie
153,我是山姆,movie
154,釜山行,movie
155,头号玩家,movie
156,哈利·波特与阿兹卡班的囚徒,movie
157,纵横四海,movie
158,疯狂原始人,movie
159,三块广告牌,movie
160,心迷宫,movie
161,达拉斯买家俱乐部,movie
162,一个叫欧维的男人决定去死,movie
163,萤火虫之墓,movie
164,卢旺达饭店,movie
165,荒蛮故事,movie
166,真爱至上,movie
167,贫民窟的百万富翁,movie
168,你的名字。,movie
169,东邪西毒,movie
170,记忆碎片,movie
171,花样年华,movie
172,爆裂鼓手,movie
173,黑天鹅,movie
174,忠犬八公物语,movie
175,哈利·波特与密室,movie
176,黑客帝国3：矩阵革命,movie
177,模仿游戏,movie
178,头脑特工队,movie
179,未麻的部屋,movie
180,你看起来好像很好吃,movie
181,新世界,movie
182,雨人,movie
183,无敌破坏王,movie
184,海街日记,movie
185,冰川时代,movie
186,恋恋笔记本,movie
187,惊魂记,movie
188,二十二,movie
189,海边的曼彻斯特,movie
190,房间,movie
191,恐怖游轮,movie
192,虎口脱险,movie
193,魔女宅急便,movie
194,奇迹男孩,movie
195,雨中曲,movie
196,疯狂的石头,movie
197,人工智能,movie
198,绿里奇迹,movie
199,小偷家族,movie
200,爱在午夜降临前,movie
201,罗生门,movie
202,终结者2：审判日,movie
203,初恋这件小事,movie
204,海洋,movie
205,魂断蓝桥,movie
206,可可西里,movie
207,2001太空漫游,movie
208,燃情岁月,movie
209,城市之光,movie
210,穿越时空的少女,movie
211,牯岭街少年杀人事件,movie
212,新龙门客栈,movie
213,无耻混蛋,movie
214,色，戒,movie
215,完美陌生人,movie
216,源代码,movie
217,青蛇,movie
218,阿飞正传,movie
219,遗愿清单,movie
220,香水,movie
221,谍影重重2,movie
222,血钻,movie
223,大佛普拉斯,movie
224,地球上的星星,movie
225,战争之王,movie
226,谍影重重,movie
227,疯狂的麦克斯4：狂暴之路,movie
228,步履不停,movie
229,彗星来的那一夜,movie
230,猜火车,movie
231,九品芝麻官,movie
232,朗读者,movie
233,浪潮,movie
234,哈利·波特与火焰杯,movie
235,小萝莉的猴神大叔,movie
236,再次出发之纽约遇见你,movie
237,东京物语,movie
238,聚焦,movie
239,驴得水,movie
240,追随,movie
241,波西米亚狂想曲,movie
242,千钧一发,movie
243,一次别离,movie
244,我爱你,movie
245,黑鹰坠落,movie
246,四个春天,movie
247,网络谜踪,movie
248,发条橙,movie
249,黑客帝国2：重装上阵,movie
